Date,Close,Open,High,Low,Volume (in Billion)
2000-11-15,"1,247.05","1,245.00","1,270.10","1,243.20",71.82
2000-11-16,"1,233.25","1,246.60","1,254.55","1,228.60",62.68
2000-11-17,"1,236.00","1,232.35","1,238.00","1,216.90",56.34
2000-11-20,"1,237.60","1,236.00","1,241.75","1,231.05",53.53
2000-11-21,"1,235.00","1,236.95","1,237.85","1,224.30",54.13
2000-11-22,"1,222.35","1,235.85","1,247.50","1,220.05",56.32
2000-11-23,"1,216.00","1,221.20","1,223.05","1,209.85",60.19
2000-11-24,"1,225.20","1,216.05","1,230.00","1,216.05",69.64
2000-11-27,"1,252.90","1,225.40","1,254.45","1,225.35",67.01
2000-11-28,"1,272.75","1,252.90","1,275.45","1,248.90",81.85
2000-11-29,"1,264.75","1,272.25","1,281.00","1,253.45",83.44
2000-11-30,"1,268.15","1,264.75","1,272.10","1,258.40",75.25
2000-12-01,"1,276.20","1,268.10","1,280.50","1,255.20",93.88
2000-12-04,"1,275.60","1,276.25","1,290.00","1,273.65",68.39
2000-12-05,"1,284.65","1,275.70","1,288.20","1,275.50",66.90
2000-12-06,"1,298.55","1,284.85","1,319.85","1,284.85",82.72
2000-12-07,"1,302.50","1,298.90","1,308.45","1,295.10",86.89
2000-12-08,"1,313.70","1,303.30","1,317.20","1,303.30",92.77
2000-12-11,"1,332.15","1,313.70","1,333.50","1,313.70",77.52
2000-12-12,"1,333.35","1,332.20","1,341.75","1,327.60",78.40
2000-12-13,"1,354.30","1,333.80","1,360.80","1,333.80",81.30
2000-12-14,"1,349.35","1,354.45","1,369.50","1,346.15",107.92
2000-12-15,"1,312.60","1,349.25","1,349.25","1,308.15",106.56
2000-12-18,"1,317.60","1,310.15","1,321.65","1,297.20",71.85
2000-12-19,"1,310.50","1,317.75","1,325.60","1,307.00",79.67
2000-12-20,"1,295.25","1,312.80","1,313.40","1,285.45",64.92
2000-12-21,"1,277.40","1,294.25","1,294.25","1,257.10",81.45
2000-12-22,"1,242.00","1,278.95","1,292.80","1,237.30",89.71
2000-12-26,"1,212.00","1,242.05","1,248.50","1,207.95",71.78
2000-12-27,"1,228.30","1,212.15","1,239.00","1,208.75",59.26
2000-12-28,"1,248.95","1,229.35","1,253.60","1,229.35",61.90
2000-12-29,"1,263.55","1,249.00","1,265.90","1,242.25",68.27
2001-01-01,"1,254.30","1,263.50","1,276.15","1,250.65",60.53
2001-01-02,"1,271.80","1,254.25","1,279.60","1,248.55",72.27
2001-01-03,"1,291.25","1,271.80","1,293.55","1,263.95",99.08
2001-01-04,"1,307.65","1,291.30","1,331.35","1,291.30",106.44
2001-01-05,"1,327.25","1,307.55","1,330.30","1,306.25",98.83
2001-01-08,"1,309.25","1,327.35","1,334.20","1,303.35",96.10
2001-01-09,"1,311.65","1,309.20","1,323.40","1,304.90",90.81
2001-01-10,"1,287.30","1,311.65","1,324.35","1,285.30",81.32
2001-01-11,"1,280.40","1,287.50","1,296.75","1,275.95",83.10
2001-01-12,"1,286.75","1,280.45","1,298.85","1,279.40",82.04
2001-01-15,"1,286.75","1,286.85","1,295.20","1,277.85",73.89
2001-01-16,"1,293.05","1,287.00","1,302.60","1,279.85",78.83
2001-01-17,"1,297.90","1,299.40","1,312.35","1,295.30",72.32
2001-01-18,"1,305.95","1,297.95","1,309.95","1,297.95",80.94
2001-01-19,"1,329.10","1,306.00","1,333.50","1,306.00",107.08
2001-01-22,"1,348.00","1,329.30","1,351.85","1,329.30",99.48
2001-01-23,"1,355.20","1,347.95","1,362.05","1,346.50",98.01
2001-01-24,"1,365.95","1,355.35","1,371.10","1,355.35",114.57
2001-01-25,"1,370.10","1,366.05","1,374.20","1,353.50",108.88
